Start Date;01/01/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;26/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ATO FP Equity;FP FP Equity;EN FP Equity;ADP FP Equity;AI FP Equity;AIR FP Equity;AMS SM Equity;AZN LN Equity;TEAM US Equity;ATO FP Equity;BKT SM Equity;BKG LN Equity;BIM FP Equity;BMW GR Equity;BNP FP Equity;BOBNN SW Equity;EN FP Equity;BP/ LN Equity;BTVCY US Equity;BNZL LN Equity;BVI FP Equity;CPG LN Equity;CPG LN Equity;1COV GY Equity;CRDA LN Equity;BN FP Equity;DAL IM Equity;DGE LN Equity;DPLM LN Equity;EDENFP CorpTicker;FGR FP Equity;ESSITYB SS Equity;ERF FP Equity;EXPN LN Equity;FNAC FP Equity;FRE GY Equity;GEBN SW Equity;GIVN SW Equity;HLMA LN Equity;HAS LN Equity;HENKEL HB Equity;ICON LN Equity;IMA IM Equity;ITX SM Equity;INGA NA Equity;ITRK LN Equity;KOMB CP Equity;KONE AV Equity;LH US Equity;LR FP Equity;MC FP Equity;MARR IM Equity;MDT US Equity;ML FP Equity;NESN SW Equity;RI FP Equity;POM FP Equity;RB/ LN Equity;RIO LN Equity;ROG SW Equity;ROR LN Equity;RUI FP Equity;SGE LN Equity;SAN FP Equity;SAP GY Equity;SLB US Equity;SU FP Equity;GLE FP Equity;SW FP Equity;STAN LN Equity;THEP FP Equity;TOTAL 3.875 PERP REGS Corp;UPM FH Equity;FR FP Equity;VIE FP Equity;DG FP Equity;WDI GY Equity;MRW LN Equity
30/01/2017;74,6045;46,705;34,155;103,85;83,6777;63,29;42,805;4260,5;27,61;74,6045;7,496;2812;49,3667;86,528;60,28;71,5;34,155;476,05;14,68;2066;18,185;1463,28;1463,28;69,39;3480,878;58,29;18,9;2218;999,5;#N/A N/A;66,85;#N/A N/A;421,95;1547;60,7;73,96;421,1;1854;924,5;152,5;#N/A N/A;13,25;61,25;30,645;13,37;3400;887,5;#N/A N/A;132,5;53,89;184,35;17,85;74,67;100;72,4;109,15;31,74;6821;3501;234;255,8;38,945;606,5;74,79;85,14;83,61;67,3;46,67;103,2;769,2;41,3;105,7;23,94;56,49;15,81;64,94;44,675;237,4
31/01/2017;74,4759;46,66;33,655;102,7;82,6446;62,76;42,745;4194;27,63;74,4759;7,435;2800;48,7667;84,408;59,18;72,2;33,655;472,85;15,55;2089;18,12;1468,48;1468,48;69,49;3429,659;57,99;18,97;2203,5;1015;#N/A N/A;66,58;#N/A N/A;415;1529;60;72,93;421,6;1779;925;152,4;#N/A N/A;13,625;61,35;30,535;13,25;3392;885;#N/A N/A;134,21;53,78;186,6;17,98;76,02;99,38;72,3;108,35;31,4;6804;3491;233;255,4;38,97;613;74,49;84,63;83,71;66,22;45,255;102,35;774,1;41,44;105,619;21;56,52;15,745;64,9;44,81;236,1
01/02/2017;75,4741;46,72;34,445;102,35;82,8926;63,1;42,58;4247;28,02;75,4741;7,549;2847;49,3333;84,784;60,63;76,9;34,445;472,9;15,55;2078;18,2;1452,88;1452,88;69,52;3429,659;58,46;19,67;2188;1021;#N/A N/A;66,88;#N/A N/A;412;1532;60;73,59;420,9;1743;913,5;154,8;#N/A N/A;13,625;61,6;30,53;13,49;3419;885,5;#N/A N/A;136,37;54,17;188;18,05;76;102,45;72,15;107,55;32,155;6830;3519,5;237,5;257,1;39,37;612,5;75,78;84,1;83,17;68,38;46,025;102,15;780,2;41,38;105,618;22,33;57,45;15,485;65,28;45,03;239,6
02/02/2017;76,2983;46,495;34,63;101,6;83,0165;62,84;43,395;4272,5;28,14;76,2983;7,546;2853;49,8;84,487;60,26;75,7;34,63;472,7;15,55;2122;18,25;1496,56;1496,56;69,96;3423,512;58,36;19,75;2194,5;1032;#N/A N/A;67,45;#N/A N/A;410;1553;60,5;74,08;420,8;1723;926;154,2;#N/A N/A;13,625;61,7;30,535;13,615;3437;891;#N/A N/A;136,49;54,29;187,5;17,95;75,92;102,15;72;108,4;31,925;7109;3515;233,5;255,6;40;622;74,98;85,4;82,44;68,13;45,675;103,4;791,3;41;105,592;22,98;57,03;15,615;66,19;45,345;237,5
03/02/2017;77,5082;47,15;34,6;101,8;83,3884;63,06;43,81;4358;28,16;77,5082;7,565;2872;49,8667;84,15;61,14;76;34,6;478,6;15,55;2129;18,255;1501,76;1501,76;70,51;3440,927;59,1;19,75;2213;1035;#N/A N/A;68,23;#N/A N/A;412,9;1555;60,45;73,81;422,2;1716;963;153,3;#N/A N/A;13,625;64,8;30,725;13,81;3457;890;#N/A N/A;137,69;53,97;188,95;18,47;76,34;103,4;72,85;109,4;32,285;7129;3390,5;235,8;255;40,5;630;75,62;85,48;82,5;67,83;45,865;103,35;801,5;41,005;105,934;22,18;57,34;15,71;66,54;45,5;240,5
06/02/2017;76,9033;47,105;34,265;101,35;82,1901;63,11;43,595;4387,5;27,93;76,9033;7,406;2834;49,5833;82,756;60,01;76;34,265;476,55;15,55;2130;18,22;1486,16;1486,16;69,26;3436,83;58,98;19,76;2217;1037;#N/A N/A;67,5;#N/A N/A;411,35;1558;59,5;72,83;420,1;1727;955;152,8;#N/A N/A;13,625;64,2;30,565;13,635;3469;888,2;#N/A N/A;129,86;53,32;185,15;18,2;75,98;102,2;72,65;108,9;31,8;7025;3385;236,1;254,9;40,135;631,5;75,64;84,77;81,69;67,07;44,755;100,75;803,6;41,05;105,92;22,02;56,42;15,565;65,82;45,415;239,4
07/02/2017;76,1471;46,625;33,65;101,2;82,8099;62,88;43,21;4449,5;28;76,1471;7,244;2884;49,5667;82,664;57,15;75,7;33,65;457,1;15,55;2163;18,325;1495,52;1495,52;70,1;3473,708;59,24;19,82;2228;1035;#N/A N/A;67,28;#N/A N/A;413,8;1560;59,18;73,11;422,4;1750;972;153,2;#N/A N/A;13,625;65;30,885;13,66;3500;896;#N/A N/A;130,6;53,25;184,45;18,22;76,12;101,35;72,85;108,9;31,745;7109;3435;238,5;255,4;40,45;633,5;75,9;85,4;81,07;67,26;43,635;101,35;791,1;41,25;105,598;21,95;56,5;15,545;65,22;45,37;243,6
08/02/2017;76,9411;46,83;34,205;102,45;82,7686;62,77;43,23;4484,5;28,11;76,9411;7,226;2921;49,8667;83,59;56,06;77,4;34,205;455,95;15,55;2167;18,42;1508;1508;69,16;3465,512;60,65;19,9;2252;1056;#N/A N/A;69,95;#N/A N/A;412,85;1560;59;73,46;424,9;1770;970;152,8;#N/A N/A;13,625;65,7;30,86;13,35;3486;918;#N/A N/A;131,49;53;182,35;18,44;75,6;100,1;74,1;108,45;31,845;7287;3377,5;237,4;252,5;40,71;639,5;76,65;85,97;81,12;67,05;42,73;101,85;785;41,05;105,367;21,79;56,99;16,105;68,27;45,285;246,4
09/02/2017;77,3192;47,425;34,29;103,85;83,7603;64;43,1;4575;28,26;77,3192;7,284;2912;49,8167;84,84;56,69;77,45;34,29;458,7;15,55;2153;18,685;1498,64;1498,64;70,09;3470,634;60,45;20,32;2255,5;1052;#N/A N/A;69,62;#N/A N/A;416,5;1564;58,2;74,55;425,3;1769;966;152,4;#N/A N/A;13,625;64,75;31,12;13,6;3501;915,2;#N/A N/A;133,83;53,05;185,5;18,41;75,71;101,5;73,95;107,05;31,605;7239;3382;239,9;251,7;40,8;637;80,19;86,28;81,21;67,34;43,71;101,65;796,9;41,125;105,768;22,15;56,35;16,275;68,81;45,195;247
10/02/2017;78,2644;47,925;34,25;103,4;83,9669;64,39;42,92;4626,5;28,64;78,2644;7,26;2902;49,6;85,061;55,7;77,25;34,25;459,6;15,55;2167;18,805;1502,8;1502,8;71,32;3476,781;60,05;20,26;2254,5;1050;#N/A N/A;69,52;#N/A N/A;418,4;1565;58;74,64;429,1;1768;957,5;153,5;#N/A N/A;13,625;63,3;31,14;13,425;3532;956,8;#N/A N/A;135,01;53,75;185,1;18,2;76,15;101,5;73,8;107,9;31,79;7025;3572,5;240;249,7;40,68;647;80,15;86,28;82,16;67,48;42,385;102,15;795,2;41,11;106,153;22,36;57;16,29;68,76;45,41;247,5
13/02/2017;79,2852;48,075;34,64;104,05;85,3306;65,85;43,07;4650,5;28,92;79,2852;7,31;2943;49,6;86,511;56,35;77,4;34,64;459,6;15,55;2164;18,845;1503,84;1503,84;71,48;3481,903;60,65;20,55;2253;1056;#N/A N/A;70;#N/A N/A;419;1568;59,11;74,99;428,3;1765;965,5;153;#N/A N/A;13,625;63,35;31,335;13,56;3528;961,9;#N/A N/A;134,93;54,09;189,8;18,2;76,92;104;73,65;108,95;32,65;7075;3679,5;240;252,2;40,8;645;80,38;87,38;81,82;68,62;42,765;102,6;796,7;40,8;106,28;22,46;58,86;16,25;69,36;45,71;247,8
14/02/2017;79,5121;47,945;35,065;104,9;84,8347;66,21;43,105;4626;28,96;79,5121;7,368;2926;49,6667;86,371;56,78;77,25;35,065;459,5;15,55;2139;18,77;1484,08;1484,08;72,14;3458,342;60,03;20,61;2240,5;1047;#N/A N/A;69,41;#N/A N/A;416,85;1565;58,89;74,88;425,8;1775;977;153,9;#N/A N/A;13,625;63,75;31,275;13,67;3487;954;#N/A N/A;135,88;54;190,15;18,3;77,05;105,75;73;107,3;32,9;6926;3640;237,4;251,7;40,79;637,5;80,5;87,3;82,46;68,4;43,185;103,25;798,8;41,5;106,443;22,32;59,43;16,245;68,82;46,175;247,1
15/02/2017;79,5499;47,955;35,475;107,1;87,438;66,32;42,96;4684;29,62;79,5499;7,394;2939;49,8;85,988;57,49;78;35,475;457,55;15,55;2152;18,815;1489,28;1489,28;72,07;3460,391;59,94;20,55;2257,5;1057;#N/A N/A;69,38;#N/A N/A;418,4;1577;58,73;74,98;428,5;1780;980;152;#N/A N/A;13,5;63,6;31,335;13,74;3534;959;#N/A N/A;136,37;54,88;188,7;18,49;77,7;106,35;73,15;107,75;32,965;6894;3654,5;241,5;252,6;41;638;81,2;87,17;81,75;68,87;43,745;103,75;817,9;42,845;106,551;22,56;60,32;16,35;69,4;46,09;248,8
16/02/2017;80,0792;47,82;35,41;106,85;86,6942;65,77;42,935;4524,5;29,16;80,0792;7,372;2926;49,5833;85,52;57,02;77,65;35,41;448,4;15,55;2142;18,81;1505,92;1505,92;72,48;3463,464;59,15;20,3;2257;1053;#N/A N/A;68,81;#N/A N/A;418,35;1597;59,15;75,27;427,4;1784;978,5;152,7;#N/A N/A;13,5;64,2;31,175;13,67;3520;961;#N/A N/A;139,13;55,38;189,7;18,27;77,99;105,9;72,45;108,05;32,47;6901;3647;242,8;251,1;40,665;635,5;81,63;86,93;81,13;66;43,52;103,65;808,2;43,15;106,61;22,72;59;16,175;68,9;45,825;249,3
17/02/2017;79,4365;47,44;35,045;107,5;86,6116;65,4;43,3;4595;29,89;79,4365;7,249;2938;49,5;85,031;55,75;77,15;35,045;446;15,55;2162;18,655;1531,92;1531,92;72,1;3491,122;61;20,45;2273;1057;#N/A N/A;68,5;#N/A N/A;415,15;1608;58,35;75,24;426,9;1801;976,5;153,8;#N/A N/A;13,5;64,75;31,02;13,455;3538;960;#N/A N/A;139,59;55,23;186,85;18,41;78,88;105,35;73,85;108,2;32,525;7100;3599,5;243,5;247,7;40,51;633,5;81,49;86,89;80,65;65,06;42,4;103,75;773;43,455;106,535;22,74;58,77;16;68,21;45,795;248,9
20/02/2017;79,5499;47,575;34,75;107,8;86,6942;66,53;43,405;4570;29,89;79,5499;7,279;2872;50,4;85,131;55,63;77,25;34,75;445,2;15,55;2182;18,735;1534;1534;69;3477,805;60,95;20,26;2267;1062;#N/A N/A;69,23;#N/A N/A;417,7;1608;58,15;75,64;428,8;1812;979;156,1;#N/A N/A;13,5;65,1;30,955;13,455;3513;963;#N/A N/A;139,59;55,21;188,1;18,5;78,88;105,35;73,25;107,95;32,45;7041;3646;244;250;40,475;634,5;80,55;87,1;80,65;65,15;41,805;103,8;765;43,505;106,381;22,74;58,85;16,01;68,53;45,985;249,3
21/02/2017;79,8524;48,4;34,7;108,7;86,405;67,24;44,035;4562;30,05;79,8524;7,232;2883;50,4167;86,531;55,79;78,4;34,7;450,8;15,55;2174;18,675;1525,68;1525,68;69,55;3455,269;60,89;20,1;2277;1065;#N/A N/A;69,04;#N/A N/A;417,7;1587;58,75;75,79;430,2;1808;982,5;157,4;#N/A N/A;13,5;65,6;31,015;13,41;3506;961;#N/A N/A;139,64;55,33;190;18,3;80,56;106,95;73,4;108,3;32,7;7075;3645,5;246,5;250,6;42,325;648;80,53;88,17;80,68;66,02;41,79;103,3;758;43,505;106,233;22,9;59,74;16,02;68,31;46,315;245,2
22/02/2017;81,5159;48,305;34,6;108,55;85,2479;66,7;44,21;4556;29,42;81,5159;7,285;2891;50,1333;86,708;55,8;77,75;34,6;447,7;15,55;2169;18,58;1526,72;1526,72;70,59;3425,561;62,33;20,08;2292;1068;#N/A N/A;68,82;#N/A N/A;419,65;1602;58,5;76,98;429,6;1823;971;147,2;#N/A N/A;13,5;65,45;30,725;13,335;3505;959,9;#N/A N/A;139,02;54,56;192,5;18,51;79,62;107,55;74,3;108,4;33,07;7229;3608;246,3;246,2;43,04;643;80,27;88,97;79,7;65,48;41,845;103,5;760,2;43,47;105,975;22,84;60,12;16,165;68,49;45,105;247,9
23/02/2017;82,1209;48,29;36,015;106,75;84,8347;69,05;43,91;4600,5;29,5;82,1209;7,271;2881;50;85,7;55,62;77,5;36,015;450,4;15,55;2177;18,89;1521,52;1521,52;71,83;3410,195;62,79;19,86;2269;1070;#N/A N/A;67,82;#N/A N/A;416,65;1593;57,5;76,62;430,9;1825;969;153,5;#N/A N/A;13,5;65,6;30,465;13,205;3482;930,8;#N/A N/A;140,27;54,13;192,2;18,39;80,74;107,75;74,8;109;33,35;7253;3418;245,1;241,1;43,5;644;80,13;89;80,47;64,79;41,945;103,3;751;43,485;106,364;22,5;59,63;15,23;68,17;44,06;248,4
24/02/2017;82,2721;47,735;35,7;105,5;84,4215;68,35;43,33;4609;29,27;82,2721;7,23;2906;48,3167;84,406;54,68;75,85;35,7;447,1;15,55;2171;18;1525,68;1525,68;70,34;3390,732;62,65;19,6;2271,5;1071;#N/A N/A;66,44;#N/A N/A;411;1593;57,12;75,67;426,6;1821;964;153,9;#N/A N/A;13,5;65,8;30,205;13,03;3445;921;#N/A N/A;142,89;53,36;190,7;18,12;81,03;106,55;74,5;107,95;32,43;7311;3315,5;245,2;235,8;43,305;642,5;80,58;87,97;80,15;64,03;41,43;102,75;730,5;43,795;106,446;22,34;58,6;15,125;67,49;43,48;244,5
27/02/2017;84,6919;47,24;35,925;106,35;84,6694;68,35;43,75;4608,5;28,82;84,6919;7,243;2915;48,8333;84,543;54,74;75,8;35,925;451,5;15,55;2245;18,015;1536,08;1536,08;70,87;3426,586;62,71;20;2275,5;1077;#N/A N/A;66,89;#N/A N/A;412,35;1601;56,59;75,43;430;1834;961,5;157,9;#N/A N/A;13,5;66,3;29,95;12,93;3472;925,6;#N/A N/A;142,82;53,42;189,85;18,56;80,75;106,1;74,3;108,4;32;7296;3340,5;243,6;246,2;43,715;647;80,43;87,76;81,06;64,16;41,535;103,05;724,3;42,5;106,5;22,41;58,19;15,435;67,44;43,635;243,8
28/02/2017;84,3138;47,05;36,37;107;84,2149;69,32;43,905;4644;28,44;84,3138;7,279;2944;48,3667;84,222;55,13;76,5;36,37;453,55;15,55;2255;18,01;1557,92;1557,92;71,07;3593,561;62,56;19,89;2268;1071;#N/A N/A;67,42;#N/A N/A;403,3;1597;56,48;75,02;434,6;1824;972,5;162,8;#N/A N/A;13,5;66,95;30,32;13,015;3527;917,1;#N/A N/A;142,26;53,22;189,45;19,15;80,91;106,05;74,25;107,9;31,88;7311;3297;244,7;247;44,25;646;81,33;87,95;80,36;63,89;41,91;103,55;722,4;42,745;106,683;22,43;58,01;15,45;68,01;43,585;242,6
01/03/2017;84,1626;47,75;37,1;109;85,5785;71,12;44,61;4676,5;28,93;84,1626;7,46;3009;48,6;86,139;57,59;77,25;37,1;464,6;15,55;2335;18,07;1553,76;1553,76;66,3;3567,951;62,86;19,94;2280;1083;#N/A N/A;68,63;#N/A N/A;409,2;1619;63,35;76,16;439,1;1819;987;163,6;#N/A N/A;13,5;68,9;30,89;13,52;3582;936;#N/A N/A;142,74;54,23;195,3;19,45;82,07;107,3;74,7;109;32,605;7351;3406;246;256;44,345;655,5;82,82;89,37;82,27;65,27;43,97;104,55;748,5;42,005;106,889;23,02;59,54;15,78;69,73;44,575;244,4
02/03/2017;83,5954;47,795;36,98;107,4;84,9174;71,7;44,55;4747;28,6;83,5954;7,304;2928;49,05;86,7;57,67;79,85;36,98;464,85;15,55;2330;17,855;1571,44;1571,44;67,21;3682,683;62,73;20,48;2284;1077;#N/A N/A;68,3;#N/A N/A;409;1623;65,12;76,01;439,3;1815;998,5;162,2;#N/A N/A;13,5;69,8;30,6;13,495;3598;950,5;#N/A N/A;141,93;53,61;194,1;19,39;81,99;107;74,6;108,8;33,255;7348;3354,5;262,1;253,9;44,47;657;82,64;89,44;80,95;65,12;44,115;105,25;741;43;106,802;23,21;59,56;16,19;69,92;44,6;244,2
03/03/2017;83,6711;48,075;37,255;107,25;84,9587;71,17;44,54;4780,5;28,79;83,6711;7,351;2908;48,9667;86,855;59,31;78,8;37,255;464,05;15,55;2307;17,98;1558,96;1558,96;67,75;3643,756;62,53;21;2264;1067;#N/A N/A;69,05;#N/A N/A;409;1614;65,9;75,96;438;1818;988,5;159;#N/A N/A;13,5;69;30,63;13,88;3568;953,9;#N/A N/A;142,29;53,32;194,35;19,63;81,86;106,5;74,65;108,4;33,275;7341;3340;260,3;255;44,43;645,5;83,59;89,28;80,7;65,3;46,13;105,05;745,7;42,555;106,435;23,12;59,49;16,26;70;44,78;243,6
06/03/2017;83,4064;48,03;37,165;108,3;84,9587;71,05;44,52;4762;28,63;83,4064;7,326;2922;47,9;86,304;58,7;80,85;37,165;462,8;15,55;2315;17,99;1552,72;1552,72;68,2;3646,83;62,5;21,1;2257;1058;#N/A N/A;68,55;#N/A N/A;406,5;1605;66,67;75,38;437,8;1823;984;159,2;#N/A N/A;13,5;69,35;30,6;13,785;3594;949,5;#N/A N/A;142,43;53,24;193,75;20;81,54;106,05;75,2;108,45;33,51;7304;3270,5;260,6;253;44,565;645,5;82,45;88,94;80,72;65,18;45,205;104,65;742,2;43,07;106,377;22,9;59;16,27;69,99;45,2;247
07/03/2017;83,8223;47,705;36,925;107;84,3802;70,19;44,575;4716,5;28,55;83,8223;7,359;2935;47,7833;86,247;58,84;81,1;36,925;463;15,55;2303;18,02;1544,4;1544,4;69,19;3684,732;61,87;21,18;2251,5;1059;#N/A N/A;68,2;#N/A N/A;405,25;1609;66,36;74,61;438,7;1815;985,5;159,6;#N/A N/A;13,5;69;30,51;13,815;3765;929,5;#N/A N/A;142,09;53;193,75;19,95;81,4;106,7;75,45;107,55;33,73;7303;3289,5;258,5;254,8;44,34;648;81,8;89,16;79,95;65,27;45,15;103,65;744,1;42,3;106,352;22,88;59,2;16,02;70,06;45,365;245,5
08/03/2017;83,7089;47,165;37,185;107,6;84,5041;70,47;44,865;4755,5;28,63;83,7089;7,324;2933;47,85;86,512;59,35;81,25;37,185;460,7;15,55;2280;17,97;1556,88;1556,88;70,04;3692,927;61,83;21,6;2252,5;1060;#N/A N/A;68,33;#N/A N/A;404,3;1621;67,6;74,53;438,4;1798;981,5;160,5;#N/A N/A;13,5;69;30,93;14,03;3790;922;#N/A N/A;142,11;53,1;194,8;19,96;82,22;106,65;75;107,7;33,765;7260;3261;258,6;254,6;44,68;647,5;82,15;89,53;78,1;65,22;45,805;104,2;753,9;43,45;105,831;22,86;59,1;15,99;70,32;45,91;247
09/03/2017;84,8431;46,79;37,525;108,55;84,5455;70,06;44,99;4764,5;28,54;84,8431;7,46;2958;47,6333;84,562;60,79;81,35;37,525;454;15,55;2276;17,9;1567,28;1567,28;69,72;3724,683;62,45;21,77;2255,5;1053;#N/A N/A;68,08;#N/A N/A;405,65;1620;68,22;74,5;436,8;1810;980;159,9;#N/A N/A;13,5;69,6;31,58;14,33;3793;923,6;#N/A N/A;143,13;52,98;195,65;19,8;82,79;105,05;75,25;108,1;33,465;7295;3202,5;257,7;255;44,88;653,5;82,32;89,5;78,7;64,51;46,755;104,6;739,9;43,5;105,502;22,87;58,29;16,15;70,74;45,84;230,8
10/03/2017;84,5785;47,265;37,915;109,9;84,5455;70,06;44,855;4759,5;28,67;84,5785;7,494;2981;48,0667;83,9;61,86;83,1;37,915;470,7;15,55;2307;17,895;1570,4;1570,4;70,15;3731,854;62,84;22,09;2269;1059;#N/A N/A;68,94;#N/A N/A;406,35;1626;70,1;74,13;440;1817;985;159,8;#N/A N/A;13,5;69,9;31,435;14,62;3855;921,9;#N/A N/A;143,94;52,92;196,4;19,95;83,04;106,15;75,45;108;33,71;7321;3178,5;258,5;255,3;44,59;646;82,24;89,03;78,69;65,26;47,75;104,85;741,3;44,175;105,613;22,8;58,29;16,055;70,34;47,765;234,2
13/03/2017;85,1456;47,1;38,2;110;85,4959;69,95;45,05;4815;29,13;85,1456;7,436;2981;48,4333;84,08;61,18;87,65;38,2;463,5;16,02;2301;18,045;1573,52;1573,52;70,5;3727,756;62,98;22,85;2271;1058;#N/A N/A;68,72;#N/A N/A;404,9;1638;69,8;74,7;442;1823;983,5;160,8;#N/A N/A;13,25;70,15;31,28;14,545;3875;929,4;#N/A N/A;144,24;53,18;198,25;20,31;82,89;107,5;75,9;108,5;34,1;7276;3304,5;259,6;255;44,58;650,5;82,04;89,16;78,59;65,12;47,65;105,15;742,9;44,25;105,57;22,77;59,17;16,165;69,91;48,68;233,1
14/03/2017;85,6749;46,3;38,06;109,4;85,5785;70,2;44,985;4854,5;28,92;85,6749;7,4;2967;48,4;83,421;59,85;87,6;38,06;457;16,02;2313;17,875;1580,8;1580,8;70,19;3704,195;62,66;23,3;2299;1060;#N/A N/A;68,6;#N/A N/A;404,95;1634;68,58;74,45;430,5;1813;979,5;160,3;#N/A N/A;13,25;70,3;31,39;14,325;3887;944,5;#N/A N/A;143,09;53,37;198,35;20,99;82,52;107,45;76,05;108,8;33,86;7333;3315;259,3;254,5;44,505;646;82,21;89,36;78,38;65,16;46,945;104,5;734,1;44,25;105,376;22,76;60,14;16,005;69,77;48,55;235
15/03/2017;85,4103;46,98;38,15;108,9;85,9504;70,43;45,52;4850;29,03;85,4103;7,462;2933;48,6;83,583;60,09;90;38,15;456,15;16,02;2326;18,03;1577,68;1577,68;70,09;3717,512;62,62;23,27;2286;1065;#N/A N/A;69,2;#N/A N/A;404,05;1639;67,43;74,72;429,8;1824;971,5;161,8;#N/A N/A;13,25;69,9;31,405;14,405;3898;950;#N/A N/A;144,27;53,53;197,8;20,22;83,3;107,35;76,6;108,35;33,64;7309;3346,5;257,9;260;45,07;639,5;82,32;89,73;80,25;66,06;46,96;104,75;739,8;44,29;105,767;22,94;60;16,08;69,45;48,9;239,6
16/03/2017;86,2042;47,13;38,26;110;86,5289;70,36;45,835;4866;29,39;86,2042;7,551;2963;48,95;83,859;60,69;89,6;38,26;459,25;16,02;2320;18,235;1564,16;1564,16;70,26;3717,512;62,79;23,64;2295;1065;#N/A N/A;69,98;#N/A N/A;405,25;1631;67;74,56;431,9;1836;977,5;162,3;#N/A N/A;13,25;69,6;31,68;14,42;3899;953;#N/A N/A;144,18;53,87;198,75;20,25;81,83;107,95;76,9;108,65;33,975;7370;3454,5;251,9;257,7;46,055;642;83,02;90,65;79,65;66,44;47,12;104,95;741,7;43,5;106,072;23,15;60,95;16,165;70,37;49,385;235,5
17/03/2017;84,2382;47,36;38,41;112,9;87,1901;70,01;46,2;4897;29,66;84,2382;7,61;3144;49,2667;82,811;60,28;90,25;38,41;463;16,02;2325;18,18;1574,56;1574,56;70,07;3709,317;63,21;23,95;2319;1060;#N/A N/A;70,58;#N/A N/A;406,9;1642;67,5;75,4;435,8;1839;982;162,3;#N/A N/A;13,25;69,8;31,905;14,385;3902;957,9;#N/A N/A;143,75;54,15;201,5;20,42;82,23;108,5;77,2;110;34,095;7392;3453,5;253,3;258,5;45,715;639;82,61;90,95;79,55;67,2;47,11;105,2;730,4;43,455;106,022;23,31;60,81;16,2;71,7;49,61;238,4
20/03/2017;84,276;46,05;38,425;112,5;87,314;70,6;45,9;4900;29,45;84,276;7,599;3180;49,4333;82,534;59,65;92,8;38,425;461,1;16,02;2335;18,395;1575,6;1575,6;70,13;3740,049;64;24,1;2328;1063;#N/A N/A;70,99;#N/A N/A;406,45;1641;68,34;75,52;435,4;1851;991,5;161,2;#N/A N/A;13,25;70,2;32,035;14,28;3917;966;#N/A N/A;143,64;54,16;200;20,52;81,42;109;77,45;110,05;34,13;7484;3470;253,1;258,7;45,905;640,5;82,74;91,07;78,92;67,67;46,725;105,15;732,3;43,3;106,033;23,3;60,45;16,325;71,69;49,32;237,5
21/03/2017;83,8979;46,32;38,01;112,45;87,3554;69,61;45,87;4826,5;28,99;83,8979;7,63;3174;49,2667;82,84;60,26;91;38,01;458,35;16,0643;2365;18,575;1573,52;1573,52;67,82;3717,512;63,79;24,12;2319,5;1054;#N/A N/A;71,3;#N/A N/A;397,05;1626;68,01;72,95;432,4;1852;972,5;159,6;#N/A N/A;12,25;71,75;32,005;14,4;3880;975,8;#N/A N/A;142,47;54,1;198,7;20,34;81,12;108,55;77,1;110;33,61;7439;3327;250,1;252,3;45,785;629,5;82,72;90,26;78,69;67,09;47,49;104,5;731,5;43,43;106,248;22,72;59,62;16,715;72,19;49,145;236
22/03/2017;84,1248;46,24;38,445;112,95;87,6033;68,9;45,96;4852,5;29,18;84,1248;7,624;3205;49,5667;82,697;60,29;90,6;38,445;454,75;15,4;2312;18,465;1548,56;1548,56;68,13;3669,366;63,97;24,17;2310;1049;#N/A N/A;71,09;#N/A N/A;402,55;1624;66,27;72,93;432,2;1846;959,5;157;#N/A N/A;12;73,65;31,81;13,82;3871;957,5;#N/A N/A;142,3;54,03;199,6;20,5;81;108,75;76,95;110,65;33,39;7430;3309,5;250,2;247,8;45,875;615,5;82,77;90,5;78,38;66,4;46,765;103,85;725;43,425;106,066;22,62;59,04;16,605;72,19;48,75;232,3
23/03/2017;84,5785;46,5;38,5;114,45;88,0579;69,85;46,26;4959,5;29,29;84,5785;7,714;3261;51,5167;82,919;61,1;92,35;38,5;456,6;15,4;2333;18,54;1558,96;1558,96;68,81;3709,317;63,97;24,55;2301;1055;#N/A N/A;72;#N/A N/A;405,15;1628;67;73,77;436,6;1849;1022;157,6;#N/A N/A;12;75,1;32,505;13,94;3907;948,1;#N/A N/A;141,5;54,94;201,95;20,95;80,86;110,7;77,4;108,45;33,605;7334;3266,5;252,6;252,6;45,85;629,5;83,3;90,95;77,67;67,19;47,475;106,6;727,3;43,795;106,062;22,96;59,29;16,77;73,73;48,74;234,5
24/03/2017;85,5993;46,21;38,45;114,45;87,7686;70,02;46,705;4928,5;29,43;85,5993;7,728;3212;51,55;83,339;60,46;93;38,45;451,85;15,4;2322;18,54;1571,44;1571,44;68,55;3696;63,61;24,24;2308;1069;#N/A N/A;72,45;#N/A N/A;402,85;1636;66,86;73,81;436,5;1857;1012;157,5;#N/A N/A;12,25;75,6;32,35;13,765;3921;956;#N/A N/A;142;55,03;201,1;21;81;111,85;77,2;108,05;33,735;7345;3257,5;252,9;249,9;45,455;631;82,87;90,8;76,96;67,31;47,315;106,95;726,6;45,05;106,037;22,94;59,99;16,79;74,36;49,03;235,8
